Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr,rank_score
Gaia,DR3,5592895864413145856,110.8126069,-31.7369402,15.566,1.905,0.826,2.251,16.9516,19.29,,,2.583,M0.3,,,1.002,,,-7.987,4.529,-8.312,0.03,4.84,0.029,0
Gaia,DR3,5591234025608169728,112.6114394,-35.2606861,16.917,2.778,0.835,2.4143,16.8274,18.36,,,2.676,M3.7,,,1.019,,,-8.638,5.198,-8.386,0.055,4.8,0.055,0
Gaia,DR3,5591100808600893312,109.4602813,-33.8886982,17.931,3.211,3.557,0.5903,16.6743,19.25,,,2.529,M4.6,,,1.016,,,-7.554,4.917,-5.971,0.096,5.961,0.108,0
Gaia,DR3,5589592626546082944,111.4940791,-36.3243763,15.622,1.951,0.588,2.6347,20.6389,18.43,,,2.719,M0.5,,,1.056,,,-8.546,5.575,-8.669,0.029,5.261,0.028,0
Gaia,DR3,5602974950066393984,106.4456805,-33.7628172,17.739,2.861,4.765,3.0976,20.6562,19.87,,,2.658,M3.8,,,0.941,,,-7.308,5.369,-4.97,0.081,6.659,0.087,0
Gaia,DR3,5603754164511855744,106.4109283,-33.226098,17.639,2.8,4.921,3.2085,22.5751,19.96,,,2.695,M3.7,,,1.02,,,-7.402,5.34,-5.29,0.083,7.172,0.086,0
Gaia,DR3,5592868587085432832,110.62631,-31.9469931,17.206,2.978,0.56,2.012,15.8074,19.3,,,2.58,M4.1,,,1.098,,,-7.94,4.575,-8.144,0.063,4.802,0.073,0
Gaia,DR3,5602755395636604928,107.4717019,-33.7251404,18.462,2.923,4.459,2.2506,14.9582,19.68,,,2.648,M3.9,,,1.001,,,-7.497,5.267,-5.294,0.141,6.426,0.166,0
Gaia,DR3,5593011832835083008,112.2154347,-31.8469041,7.104,-0.212,3.479,2.6937,21.6415,18.97,,,2.728,B1.1,,,1.571,,,-8.724,4.692,-10.667,0.055,4.217,0.06,0
Gaia,DR3,5592557494012855936,111.410139,-33.0365429,16.147,2.164,1.722,1.3615,21.6726,18.97,,,2.507,M1.4,,,0.965,,,-7.865,4.58,-6.997,0.035,4.854,0.037,0
